아이템코드	용지	용지무게	인쇄도수	가로	세로	사이즈	수량	코팅후가공	타공후가공	귀돌이후가공	재단후가공	아일렛후가공	주문관리코드	금액
STCUXXX	아트지 라벨	90	단면	40	40	40*40	50	x	x	x	묶음재단	x	6718895B65B18912587129	8,360
STCUXXX	아트지 라벨	90	단면	40	40	40*40	50	x	x	x	개별재단	x	671889677B923337530533	12,320
STCUXXX	아트지 라벨	90	단면	40	40	40*40	50	무광	x	x	묶음재단	x	67188973F2D61982197701	10,670
STCUXXX	아트지 라벨	90	단면	40	40	40*40	50	무광	x	x	개별재단	x	67188980364D4475494051	14,630
STCUXXX	아트지 라벨	90	단면	40	40	40*40	50	유광	x	x	묶음재단	x	6718898E00CA2238099419	10,670
STCUXXX	아트지 라벨	90	단면	40	40	40*40	50	유광	x	x	개별재단	x	6718899B03115207969251	14,630
STCUXXX	아트지 라벨	90	단면	40	40	40*40	100	x	x	x	묶음재단	x	671889A550915782226024	9,350
STCUXXX	아트지 라벨	90	단면	40	40	40*40	100	x	x	x	개별재단	x	671889AFE69EE460034567	13,310
STCUXXX	아트지 라벨	90	단면	40	40	40*40	100	무광	x	x	묶음재단	x	671889BAF041A915150929	12,540
STCUXXX	아트지 라벨	90	단면	40	40	40*40	100	무광	x	x	개별재단	x	671889C658095257827576	16,500
